io_getevents(ctx_id=0xbfbfbfbf, min_nr=1, nr=1024, events=0x8, timeout=0x7fa255aba000) = -1 (Invalid argument)
io_getevents(ctx_id=202, min_nr=4096, nr=111, events=0x7fdaa3a4f000, timeout=0x7fdaa384d000) = -1 (Invalid argument)
io_getevents(ctx_id=0xffffefff, min_nr=4, nr=0x60eb4000, events=0x4, timeout=0x7fdaa384e000) = -1 (Invalid argument)
io_getevents(ctx_id=512, min_nr=224, nr=4, events=0x7fdaa3a4f000, timeout=0x7fdaa3a4f000) = -1 (Invalid argument)
io_getevents(ctx_id=0x94949494, min_nr=0xfffd, nr=4, events=0x1, timeout=0x7fdaa404f000) = -1 (Invalid argument)
io_getevents(ctx_id=40, min_nr=24, nr=-4, events=0x7fdaa3a4f000, timeout=0x7fdaa384d000) = -1 (Invalid argument)
io_getevents(ctx_id=29, min_nr=4, nr=4, events=0x8, timeout=0x7fdaa384d000) = -1 (Invalid argument)
io_getevents(ctx_id=0x40b46000, min_nr=4096, nr=1, events=0x8, timeout=0x9) = -1 (Bad address)
io_getevents(ctx_id=0xffffffffd0d0d0d0, min_nr=4, nr=0x6363, events=0x7fdaa5958000, timeout=0x7fdaa5958001) = -1 (Invalid argument)
io_getevents(ctx_id=0xcececece, min_nr=8, nr=0x49494949, events=0x0, timeout=0x4) = -1 (Bad address)
io_getevents(ctx_id=-7, min_nr=4, nr=8, events=0x1, timeout=0x7fdaa404f000) = -1 (Invalid argument)
io_getevents(ctx_id=66, min_nr=30, nr=4, events=0x8, timeout=0x9) = -1 (Bad address)
io_getevents(ctx_id=0x22016006ebc18b, min_nr=0xff1c, nr=1, events=0x7fdaa384c000, timeout=0x7fdaa384f000) = -1 (Invalid argument)
io_getevents(ctx_id=-2, min_nr=4, nr=4, events=0x7fdaa384f000, timeout=0x7fdaa384f000) = -1 (Invalid argument)
io_getevents(ctx_id=14, min_nr=0x3ffff6, nr=95, events=0x4, timeout=0x7fdaa3c4f000) = -1 (Invalid argument)
io_getevents(ctx_id=0x52a14b11a827, min_nr=2072, nr=1, events=0x7fdaa404f000, timeout=0x7fdaa404f001) = -1 (Invalid argument)
io_getevents(ctx_id=0x2000000, min_nr=4096, nr=247, events=0x7fdaa3e4f000, timeout=0x7fdaa384d000) = -1 (Invalid argument)
io_getevents(ctx_id=0x800000, min_nr=1, nr=0xf76696, events=0x7fdaa384e000, timeout=0x7fdaa384e001) = -1 (Invalid argument)
io_getevents(ctx_id=-579, min_nr=4, nr=1, events=0x7fdaa3a4f000, timeout=0x7fdaa384f000) = -1 (Invalid argument)
io_getevents(ctx_id=0xa4cc90c74, min_nr=23, nr=8, events=0x4, timeout=0x7fdaa3e4f000) = -1 (Invalid argument)
io_getevents(ctx_id=0x6844, min_nr=0x1c75b, nr=4096, events=0x7fdaa3f4f000, timeout=0x7fdaa3f4f004) = -1 (Invalid argument)
io_getevents(ctx_id=-8204, min_nr=4096, nr=149, events=0x0, timeout=0x7fdaa404f000) = -1 (Invalid argument)
io_getevents(ctx_id=0x8000000, min_nr=8, nr=8, events=0x7fdaa384f000, timeout=0x7fdaa384f001) = -1 (Invalid argument)
io_getevents(ctx_id=0xffff, min_nr=4, nr=0x1ffffe, events=0x4, timeout=0x4) = -1 (Bad address)
io_getevents(ctx_id=0xcdcdcdcd, min_nr=4096, nr=22, events=0x0, timeout=0x7fdaa404f000) = -1 (Invalid argument)
io_getevents(ctx_id=0xffffeffa3d4ead90, min_nr=0, nr=-8, events=0x7fdaa384c000, timeout=0x7fdaa384e000) = -1 (Invalid argument)
io_getevents(ctx_id=233, min_nr=4, nr=50, events=0x0, timeout=0x7fdaa3c4f000) = -1 (Invalid argument)
io_getevents(ctx_id=0xff00, min_nr=4096, nr=4095, events=0x7fdaa3f4f000, timeout=0x7fdaa3f4f008) = -1 (Invalid argument)
io_getevents(ctx_id=4, min_nr=9, nr=112, events=0x7fdaa5957000, timeout=0x7fdaa5958000) = -1 (Invalid argument)
io_getevents(ctx_id=-8, min_nr=8, nr=4, events=0x7fdaa3c4f000, timeout=0x7fdaa3f4f000) = -1 (Invalid argument)
io_getevents(ctx_id=0x300810002001, min_nr=-4097, nr=0, events=0x7fdaa384d000, timeout=0x7fdaa384e000) = -1 (Invalid argument)
io_getevents(ctx_id=41, min_nr=8, nr=167, events=0x1, timeout=0x9) = -1 (Bad address)
io_getevents(ctx_id=520, min_nr=-4, nr=4096, events=0x7fdaa3c4f000, timeout=0x7fdaa3c4f004) = -1 (Invalid argument)
io_getevents(ctx_id=0x61616161, min_nr=1, nr=1, events=0x7fdaa3a4f000, timeout=0x7fdaa3a4f000) = -1 (Invalid argument)
io_getevents(ctx_id=0, min_nr=8, nr=-7, events=0x7fdaa5959000, timeout=0x7fdaa3c4f000) = -1 (Invalid argument)
io_getevents(ctx_id=0x8051001011, min_nr=0x6d49a402, nr=4, events=0x1, timeout=0x5) = -1 (Bad address)
io_getevents(ctx_id=0x92b67c2c0500f8, min_nr=0x98a8, nr=8, events=0x7fdaa3f4f000, timeout=0x7fdaa3f4f008) = -1 (Invalid argument)
io_getevents(ctx_id=182, min_nr=1, nr=8, events=0x1, timeout=0x7fdaa384f000) = -1 (Invalid argument)
io_getevents(ctx_id=0x5bbb000, min_nr=1024, nr=4, events=0x8, timeout=0x7fdaa3c4f000) = -1 (Invalid argument)
io_getevents(ctx_id=60, min_nr=0, nr=1, events=0x8, timeout=0x10) = -1 (Bad address)
io_getevents(ctx_id=-7, min_nr=1, nr=8, events=0x7fdaa3f4f000, timeout=0x7fdaa5958000) = -1 (Invalid argument)
io_getevents(ctx_id=194, min_nr=1, nr=6799, events=0x7fdaa3e4f000, timeout=0x7fdaa404f000) = -1 (Invalid argument)
